City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Passagem Franca,BR,90.48,overcast clouds,-6.18,-43.78,Hotel Brasil
3,Cape Town,ZA,71.6,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
12,East London,ZA,66.2,scattered clouds,-33.02,27.91,Tu Casa
13,Dingle,PH,76.75,overcast clouds,11.0,122.67,Camp Pasica
19,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
23,Banes,CU,80.6,broken clouds,20.96,-75.72,Hostal Iván y yailet
26,Bonthe,SL,86.38,light rain,7.53,-12.51,Bonthe Holiday Village
27,Cap Malheureux,MU,70.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
29,Gat,IL,79.0,scattered clouds,31.61,34.76,OlusHome
33,Ixtapa,MX,77.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
34,Marseille,FR,68.0,clear sky,43.33,5.5,Hôtel The Originals Côté Sud (ex Inter-Hotel)
39,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
42,Trinidad,BO,77.0,overcast clouds,-14.83,-64.9,Hotel Piesta
44,Kavaratti,IN,83.21,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
45,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
49,Port Alfred,ZA,66.61,broken clouds,-33.59,26.89,The Halyards Hotel
51,Vila Franca Do Campo,PT,69.8,broken clouds,37.72,-25.43,Pestana Bahia Praia
55,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
56,Carnarvon,AU,71.6,overcast clouds,-24.87,113.63,Hospitality Carnarvon
57,Ilheus,BR,82.4,shower rain,-14.79,-39.05,Pontal Praia Hotel
60,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
61,Praya,CV,84.2,broken clouds,14.92,-23.51,LT Aparthotel
62,Cabo San Lucas,MX,75.2,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
63,Saldanha,ZA,78.8,clear sky,-33.01,17.94,Blue Bay Lodge
66,Touros,BR,82.4,shower rain,-5.2,-35.46,INN NEW HORIZON
69,Ballina,AU,68.0,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
72,Carnarvon,AU,71.6,overcast clouds,-24.87,113.63,Hospitality Carnarvon
73,Port Alfred,ZA,66.61,broken clouds,-33.59,26.89,The Halyards Hotel
75,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
76,Dingle,PH,76.75,overcast clouds,11.0,122.67,Camp Pasica
78,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
80,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
82,Timbiqui,CO,78.69,moderate rain,2.77,-77.67,hotel diana
86,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
88,Butaritari,KI,81.09,broken clouds,3.07,172.79,Isles Sunset Lodge
90,Victoria,HK,75.0,clear sky,22.29,114.16,Mini Hotel Central
91,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
92,Vaini,TO,71.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
94,Sao Francisco De Paula,BR,75.0,overcast clouds,-29.45,-50.58,Hotel Village da Serra
95,Margherita,IN,72.7,broken clouds,27.28,95.68,Dehing Guest House
96,Acarau,BR,89.69,overcast clouds,-2.89,-40.12,castelo pizzaria
97,Poum,NC,77.47,light rain,-20.23,164.02,Gîte kajeon
99,Port Elizabeth,ZA,68.0,clear sky,-33.92,25.57,39 On Nile Guest House
102,Karangasem,ID,78.15,overcast clouds,-8.45,115.62,Villa Campuhan
106,Fort Abbas,PK,76.5,clear sky,29.19,72.85,AsAd's House
108,Vaini,TO,71.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
111,Ponta Do Sol,PT,77.0,few clouds,32.67,-17.1,Hotel do Campo
112,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
113,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
115,Bilma,NE,87.8,clear sky,18.69,12.92,Expeditions Ténére voyages
116,Hithadhoo,MV,83.44,light rain,-0.6,73.08,Scoop Guest House
118,Beja,TN,75.2,scattered clouds,36.73,9.18,HAROUN
119,Cape Town,ZA,71.6,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
120,Road Town,VG,84.99,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
122,Grand Gaube,MU,70.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
126,Namibe,AO,76.26,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
128,Geraldton,AU,68.0,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
129,Dom Pedrito,BR,67.46,few clouds,-30.98,-54.67,Hotel Alexandre
146,Kefamenanu,ID,74.84,clear sky,-9.45,124.48,PAULUS TAITOH
147,Kavieng,PG,83.28,overcast clouds,-2.57,150.8,Nusa Island Retreat
148,Caravelas,BR,82.09,moderate rain,-17.71,-39.25,Pousada dos Navegantes
149,Vaini,TO,71.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
150,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
154,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
155,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
158,Sakakah,SA,89.6,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
160,Camacha,PT,73.4,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
161,Kavieng,PG,83.28,overcast clouds,-2.57,150.8,Nusa Island Retreat
165,Bairiki,KI,80.6,few clouds,1.33,172.98,Tarawa Boutique Hotel
167,Butaritari,KI,81.09,broken clouds,3.07,172.79,Isles Sunset Lodge
168,Namibe,AO,76.26,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
169,Buraydah,SA,86.0,clear sky,26.33,43.98,Mövenpick Hotel Qassim
170,Butaritari,KI,81.09,broken clouds,3.07,172.79,Isles Sunset Lodge
173,Caninde De Sao Francisco,BR,95.34,broken clouds,-9.66,-37.79,Inn Old Trail Chico
178,Bairiki,KI,80.6,few clouds,1.33,172.98,Tarawa Boutique Hotel
179,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
182,Pitimbu,BR,86.0,broken clouds,-7.47,-34.81,Reserva do Abiaí
183,Hithadhoo,MV,83.44,light rain,-0.6,73.08,Scoop Guest House
185,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
187,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
188,Ruwi,OM,82.4,clear sky,23.6,58.55,Al Falaj Hotel
190,Karratha,AU,72.52,light rain,-20.74,116.85,ibis Styles Karratha
191,Tucuman,AR,73.4,clear sky,-26.82,-65.22,Dallas Hotel Tucuman
192,Avarua,CK,73.4,light rain,-21.21,-159.78,Paradise Inn
193,Gonaives,HT,82.4,few clouds,19.45,-72.68,Vertières Doux Séjour
195,Praia Da Vitoria,PT,73.4,scattered clouds,38.73,-27.07,Hotel Branco I
196,Cabo San Lucas,MX,75.2,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
198,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
199,Kruisfontein,ZA,66.99,scattered clouds,-34.0,24.73,Oyster Bay House Rental
203,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
204,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
