City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
0,Polyarnyy,69.2,33.45,19.4,92,0,4.47,RU,clear sky
1,Passagem Franca,-6.18,-43.78,90.48,48,100,2.8,BR,overcast clouds
2,Qaanaaq,77.48,-69.36,12.99,87,100,7.18,GL,overcast clouds
3,Cape Town,-33.93,18.42,71.6,46,0,25.28,ZA,clear sky
4,Akdepe,42.06,59.38,57.2,24,0,9.17,TM,clear sky
5,New Norfolk,-42.78,147.06,55.0,68,73,1.57,AU,broken clouds
6,Busselton,-33.65,115.33,64.0,64,100,9.22,AU,overcast clouds
7,Yarega,63.44,53.58,32.25,95,97,7.31,RU,overcast clouds
8,Mataura,-46.19,168.86,48.0,82,5,3.0,NZ,clear sky
9,Warrnambool,-38.38,142.48,46.0,92,32,6.6,AU,scattered clouds
10,Tuktoyaktuk,69.45,-133.04,-4.0,83,20,3.36,CA,few clouds
11,Punta Arenas,-53.15,-70.92,51.8,71,0,6.93,CL,clear sky
12,East London,-33.02,27.91,66.2,77,40,9.17,ZA,scattered clouds
13,Dingle,11.0,122.67,76.75,86,100,5.77,PH,overcast clouds
14,Katsuura,35.13,140.3,60.8,59,20,6.93,JP,few clouds
15,Khatanga,71.97,102.5,-8.59,87,94,5.82,RU,overcast clouds
16,Ushuaia,-54.8,-68.3,50.0,71,75,5.01,AR,broken clouds
17,Kodiak,57.79,-152.41,32.0,90,1,8.05,US,clear sky
18,Nuuk,64.18,-51.72,19.4,73,20,8.05,GL,few clouds
19,Rikitea,-23.12,-134.97,74.82,70,18,6.76,PF,few clouds
20,Clyde River,70.47,-68.59,15.8,100,90,10.29,CA,light snow
21,Chuy,-33.7,-53.46,65.41,60,24,5.73,UY,few clouds
22,Severo-Kurilsk,50.68,156.12,40.66,87,100,26.35,RU,moderate rain
23,Banes,20.96,-75.72,80.6,83,75,14.99,CU,broken clouds
24,Tilichiki,60.47,166.1,25.57,98,4,6.02,RU,clear sky
25,Nemuro,43.32,145.57,46.42,68,37,6.04,JP,scattered clouds
26,Bonthe,7.53,-12.51,86.38,64,42,5.59,SL,light rain
27,Cap Malheureux,-19.98,57.61,70.0,67,0,5.01,MU,clear sky
28,Krasnoselkup,65.7,82.47,29.55,98,100,22.75,RU,overcast clouds
29,Gat,31.61,34.76,79.0,100,32,1.99,IL,scattered clouds
30,Ilulissat,69.22,-51.1,15.8,72,75,5.82,GL,broken clouds
31,Bethel,41.37,-73.41,35.01,92,1,4.29,US,clear sky
32,Yellowknife,62.46,-114.35,19.4,85,90,14.99,CA,light snow
33,Ixtapa,20.7,-105.2,77.0,88,5,4.7,MX,clear sky
34,Marseille,43.33,5.5,68.0,72,0,8.05,FR,clear sky
35,Lasa,46.62,10.7,64.0,38,0,6.93,IT,clear sky
36,Punta Arenas,-53.15,-70.92,51.8,71,0,6.93,CL,clear sky
37,Mataura,-46.19,168.86,48.0,82,5,3.0,NZ,clear sky
38,Longyearbyen,78.22,15.64,19.4,73,75,1.12,SJ,broken clouds
39,Hermanus,-34.42,19.23,70.0,50,0,5.99,ZA,clear sky
40,Castro,-24.79,-50.01,60.03,77,100,7.0,BR,overcast clouds
41,Mataura,-46.19,168.86,48.0,82,5,3.0,NZ,clear sky
42,Trinidad,-14.83,-64.9,77.0,44,91,13.87,BO,overcast clouds
43,Ushuaia,-54.8,-68.3,50.0,71,75,5.01,AR,broken clouds
44,Kavaratti,10.57,72.64,83.21,71,89,5.37,IN,overcast clouds
45,Puerto Ayora,-0.74,-90.35,70.0,94,100,7.0,EC,overcast clouds
46,Saint Andrews,34.05,-81.13,51.01,66,20,8.05,US,few clouds
47,New Norfolk,-42.78,147.06,55.0,68,73,1.57,AU,broken clouds
48,Yerbogachen,61.28,108.01,3.11,93,0,4.38,RU,clear sky
49,Port Alfred,-33.59,26.89,66.61,67,84,15.66,ZA,broken clouds
50,New Norfolk,-42.78,147.06,55.0,68,73,1.57,AU,broken clouds
51,Vila Franca Do Campo,37.72,-25.43,69.8,94,75,14.99,PT,broken clouds
52,Concepcion,-36.83,-73.05,53.6,93,90,3.36,CL,mist
53,Dalton,34.77,-84.97,48.0,87,1,0.96,US,clear sky
54,Hobart,-42.88,147.33,55.0,81,90,2.24,AU,overcast clouds
55,Rikitea,-23.12,-134.97,74.82,70,18,6.76,PF,few clouds
56,Carnarvon,-24.87,113.63,71.6,78,90,9.17,AU,overcast clouds
57,Ilheus,-14.79,-39.05,82.4,83,75,12.75,BR,shower rain
58,Svetlogorsk,52.63,29.73,48.79,89,100,8.16,BY,overcast clouds
59,Rio Gallegos,-51.62,-69.22,57.2,47,0,11.41,AR,clear sky
60,Hilo,19.73,-155.09,75.2,78,90,2.89,US,overcast clouds
61,Praya,14.92,-23.51,84.2,62,75,26.4,CV,broken clouds
